document_id,file_name,stem,extension,absolute_path,relative_path,parent_folder,size_bytes,size_mb,created_time,modified_time,sha256,mime_type,is_supported,conversion_candidate,hash_error
DOC000012,COSTS OF CONSTRUCTION_Tunnel.docx,COSTS OF CONSTRUCTION_Tunnel,.docx,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\COSTS OF CONSTRUCTION_Tunnel.docx,Leyla Literatür/TunelMaliyet/COSTS OF CONSTRUCTION_Tunnel.docx,Leyla Literatür/TunelMaliyet,26052,0.024845,2026-08-12T19:11:11+03:00,2024-02-06T16:04:18+03:00,3cf8e7e534d4363e9c7cd595883bdba4d4e935a1e04a3ac728ad87b2f0e47f4a,application/vnd.openxmlformats-officedocument.wordprocessingml.document,True,True,
DOC000013,Estimation_of_Annual_Routine_Maintenance_Cost_for_.pdf,Estimation_of_Annual_Routine_Maintenance_Cost_for_,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\Estimation_of_Annual_Routine_Maintenance_Cost_for_.pdf,Leyla Literatür/TunelMaliyet/Estimation_of_Annual_Routine_Maintenance_Cost_for_.pdf,Leyla Literatür/TunelMaliyet,699126,0.666739,2026-08-12T19:11:12+03:00,2024-02-07T14:13:14+03:00,e9bce09c7035ac5c141dea236fcfd694e507faf2ccba90f6e0e21f29b3ecaa4f,application/pdf,True,True,
DOC000014,GeoMon2013Paper644_revised_final_cost.pdf,GeoMon2013Paper644_revised_final_cost,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\GeoMon2013Paper644_revised_final_cost.pdf,Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.pdf,Leyla Literatür/TunelMaliyet,1071629,1.021985,2026-08-12T19:11:12+03:00,2024-02-06T15:55:13+03:00,e36fdb6f7e102b86f58200ae2e89f5c300a92555e560afdd6339510ae519af28,application/pdf,True,True,
DOC000015,hif15005.pdf,hif15005,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\hif15005.pdf,Leyla Literatür/TunelMaliyet/hif15005.pdf,Leyla Literatür/TunelMaliyet,15821876,15.088917,2026-08-12T19:11:12+03:00,2024-02-07T16:25:56+03:00,b6a2b2e47753afe8699c10da551fe4afc311dcac8f4504a34c8e83d71fd157c8,application/pdf,True,True,
DOC000016,HS2_Guide_to_Tunnelling_Costs.pdf,HS2_Guide_to_Tunnelling_Costs,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\HS2_Guide_to_Tunnelling_Costs.pdf,Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.pdf,Leyla Literatür/TunelMaliyet,506043,0.4826,2026-08-12T19:11:12+03:00,2024-02-07T16:13:48+03:00,376b6902031fe537a68c4606bbc954db0a2583e517f679e65b8aeded512e39cd,application/pdf,True,True,
DOC000017,IRJET-V8I7794.pdf,IRJET-V8I7794,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\IRJET-V8I7794.pdf,Leyla Literatür/TunelMaliyet/IRJET-V8I7794.pdf,Leyla Literatür/TunelMaliyet,844123,0.805018,2026-08-12T19:11:12+03:00,2024-02-07T14:12:19+03:00,046493eef6fb4c973116c6e2a44114ce27376a2cb6b3f8eaf3fe750885c8f5f4,application/pdf,True,True,
DOC000018,low-cost-tunnels-rural-roads-asia-pacific.pdf,low-cost-tunnels-rural-roads-asia-pacific,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\low-cost-tunnels-rural-roads-asia-pacific.pdf,Leyla Literatür/TunelMaliyet/low-cost-tunnels-rural-roads-asia-pacific.pdf,Leyla Literatür/TunelMaliyet,1149747,1.096484,2026-08-12T19:11:12+03:00,2024-02-06T15:51:28+03:00,fe0cf79aab020b9dbf9747771619dc0aabe44dfd82d98aa47cae335893e49886,application/pdf,True,True,
DOC000019,operating-costs-and-revenues-report.pdf,operating-costs-and-revenues-report,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\operating-costs-and-revenues-report.pdf,Leyla Literatür/TunelMaliyet/operating-costs-and-revenues-report.pdf,Leyla Literatür/TunelMaliyet,330026,0.314737,2026-08-12T19:11:12+03:00,2024-02-07T14:15:14+03:00,fcafb5c9434d660130bf7645d163a6f1f1b387dc744013ce1c27638da1cfc856,application/pdf,True,True,
DOC000020,THICKI01_TALK.pdf,THICKI01_TALK,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\THICKI01_TALK.pdf,Leyla Literatür/TunelMaliyet/THICKI01_TALK.pdf,Leyla Literatür/TunelMaliyet,683005,0.651364,2026-08-12T19:11:13+03:00,2024-02-06T15:46:18+03:00,6935929ec3c5b865ccdbc939924945c3b5a05459da955ce7417a6f72c076f16e,application/pdf,True,True,
DOC000021,Tunnel - Wikipedia.pdf,Tunnel - Wikipedia,.pdf,C:\Users\bulsa\OneDrive\Desktop\tunnel\Leyla Literatür\TunelMaliyet\Tunnel - Wikipedia.pdf,Leyla Literatür/TunelMaliyet/Tunnel - Wikipedia.pdf,Leyla Literatür/TunelMaliyet,1834926,1.749922,2026-08-12T19:11:13+03:00,2021-09-08T15:45:02+03:00,3b8ddd107873155e0aeb2cadc12651707e75ab95a0d2855fb4100996fae4955e,application/pdf,True,True,
