logical_group_id,document_id,file_name,relative_path,extension,normalized_title,match_method,confidence,preferred_source
LOGICAL00012,DOC000147,12_TUG_contract.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/12_TUG_contract.pdf,.pdf,12 tug contract,exact_normalized_title,high,False
LOGICAL00013,DOC000069,19 MayısUniversitesi14. hafta (2020-2021).docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/19 MayısUniversitesi14. hafta (2020-2021).docx,.docx,19 mayisuniversitesi14 hafta 2020 2021,exact_normalized_title,high,True
LOGICAL00013,DOC000052,19 MayısUniversitesi14. hafta (2020-2021).pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/19 MayısUniversitesi14. hafta (2020-2021).pdf,.pdf,19 mayisuniversitesi14 hafta 2020 2021,exact_normalized_title,high,False
LOGICAL00014,DOC000121,Austrian-practice-of_tunnelling-contracts_Engl.docx,Mehmet/Literatur/Wordler/YTMK/2015/Austrian-practice-of_tunnelling-contracts_Engl.docx,.docx,austrian practice of tunnelling contracts engl,exact_normalized_title,high,True
LOGICAL00014,DOC000148,Austrian-practice-of_tunnelling-contracts_Engl.pdf,Mehmet/Literatur/YTMK Tunelcilik Semineri/2015/Austrian-practice-of_tunnelling-contracts_Engl.pdf,.pdf,austrian practice of tunnelling contracts engl,exact_normalized_title,high,False
LOGICAL00015,DOC000227,Birim Fiyat Tarifleri (Genel Müdürlük)-TÜNEL.doc,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Birim Fiyat Tarifleri (Genel Müdürlük)-TÜNEL.doc,.doc,birim fiyat tarifleri genel mudurluk tunel,exact_normalized_title,high,True
LOGICAL00015,DOC000228,Birim Fiyat Tarifleri (Genel Müdürlük)-TÜNEL.pdf,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Birim Fiyat Tarifleri (Genel Müdürlük)-TÜNEL.pdf,.pdf,birim fiyat tarifleri genel mudurluk tunel,exact_normalized_title,high,False
LOGICAL00016,DOC000096,CevreSehircilik_tunel-isler--20230202145300.docx,Mehmet/Literatur/Wordler/CevreSehircilik_tunel-isler--20230202145300.docx,.docx,cevresehircilik tunel isler 20230202145300,exact_normalized_title,high,True
LOGICAL00016,DOC000079,CevreSehircilik_tunel-isler--20230202145300.pdf,Mehmet/Literatur/CevreSehircilik_tunel-isler--20230202145300.pdf,.pdf,cevresehircilik tunel isler 20230202145300,exact_normalized_title,high,False
LOGICAL00017,DOC000070,Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/Dergipark_Kop T__neli Yap__m __al____malar__ ve Metodolojisi#367279-384775.docx,.docx,dergipark kop t neli yap m al malar ve metodolojisi 367279 384775,exact_normalized_title,high,True
