document_id,source_relative_path,field,current_value,suggested_value,evidence,confidence,reviewer_value,reviewer_note,review_status,reviewed_at
DOC000295,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Tünelde Özel Çözümler/Genel Sunum.ppt,organization,,,Authority kararı var; kurum doğrulaması eksik,low,,,pending,
DOC000302,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/TÜNELLERDE GÜZERGAH SEÇİMİ VE jeoteknik araştırmalar son.pptx,authority_level,,C,Profesyonel eğitim/sunum/sektör dokümanı sinyali,medium,,,pending,
DOC000303,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Çelik Tel Donatılı Nihai Kaplama.pptx,authority_level,,C,Profesyonel eğitim/sunum/sektör dokümanı sinyali,medium,,,pending,
DOC000303,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Çelik Tel Donatılı Nihai Kaplama.pptx,organization,,,Authority kararı var; kurum doğrulaması eksik,low,,,pending,
DOC000304,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Çelik Tel Donatılı Püskürtme Betonlar.ppt,authority_level,,C,Profesyonel eğitim/sunum/sektör dokümanı sinyali,medium,,,pending,
DOC000304,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Çelik Tel Donatılı Püskürtme Betonlar.ppt,organization,,,Authority kararı var; kurum doğrulaması eksik,low,,,pending,
DOC000305,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Üst yarı alt yarı.pptx,authority_level,,C,Profesyonel eğitim/sunum/sektör dokümanı sinyali,medium,,,pending,
DOC000305,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Üst yarı alt yarı.pptx,organization,,,Authority kararı var; kurum doğrulaması eksik,low,,,pending,
DOC000306,Çalışma Kapsamı Tasarısı (17.10.2025).rtf,authority_level,,unclassified,İçerikte resmî kaynağa atıf var; belgenin kendisinin authority'si doğrulanmadı: karayolları genel müdürlüğü,low,,,pending,
DOC000306,Çalışma Kapsamı Tasarısı (17.10.2025).rtf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000307,Özgür Satıcı/10.24232-jmd.344499-351159.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000307,Özgür Satıcı/10.24232-jmd.344499-351159.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000307,Özgür Satıcı/10.24232-jmd.344499-351159.pdf,language,,mixed,Konservatif dil tespiti,medium,,,pending,
DOC000308,Özgür Satıcı/Differentmethodsusedinundergroundexcavationsandunderground.pdf,authority_level,,unclassified,Authority sınıfı için güvenilir kurum/yayın türü kanıtı bulunamadı,low,,,pending,
DOC000308,Özgür Satıcı/Differentmethodsusedinundergroundexcavationsandunderground.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
DOC000309,Özgür Satıcı/OS_JMO_DERGİ_39_1.pdf,document_type,unknown,unknown,Kontrollü document type vocabulary için yeterli içerik kanıtı bulunamadı,low,,,pending,
