document_id,source_relative_path,source_filename,source_extension,source_sha256,title_value,title_source,title_confidence,title_verification_status,organization_value,organization_source,organization_confidence,organization_verification_status,year_value,year_source,year_confidence,year_verification_status,language_value,language_source,language_confidence,language_verification_status,document_type_value,document_type_source,document_type_confidence,document_type_verification_status,authority_level_value,authority_level_source,authority_level_confidence,authority_level_verification_status,topics_value,topics_source,topics_confidence,topics_verification_status
DOC000287,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/patlatma-Ankara.ppt,patlatma-Ankara.ppt,.ppt,9e8d001f55f9fab3b6de2104875395ea34f9bde10ca9463e7d127c75845cac15,patlatma-Ankara,deterministic_existing,,deterministic_candidate,Karayolları Genel Müdürlüğü (KGM),deterministic_existing,,deterministic_candidate,2020,deterministic_existing,high,deterministic_candidate,tr,deterministic_existing,high,deterministic_candidate,training_material,deterministic_existing,medium,deterministic_candidate,,unresolved,low,unresolved_nonblocking,accident|blasting|cost|excavation|injection|operations,deterministic_existing,high,deterministic_candidate
DOC000288,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Portal İyileştirmeleri.pptx,Portal İyileştirmeleri.pptx,.pptx,8403b7acba7a63302cb6a2bbaebb00b0da6ca1693dbadc6e11568e2c7577da4c,Portal İyileştirmeleri,deterministic_existing,,deterministic_candidate,,unresolved,low,unresolved_nonblocking,2020,deterministic_existing,high,deterministic_candidate,tr,deterministic_existing,high,deterministic_candidate,training_material,deterministic_existing,medium,deterministic_candidate,,unresolved,low,unresolved_nonblocking,portal,existing_verified,high,verified_existing
DOC000289,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/PORTAL TASARIMI.pptx,PORTAL TASARIMI.pptx,.pptx,56d4a921cf2c6a1daf096e8ed36ef4e4738d960ff366c1b218edbe6b1c432e49,PORTAL TASARIMI,deterministic_existing,,deterministic_candidate,,unresolved,low,unresolved_nonblocking,2020,deterministic_existing,high,deterministic_candidate,tr,deterministic_existing,high,deterministic_candidate,training_material,deterministic_existing,medium,deterministic_candidate,,unresolved,low,unresolved_nonblocking,portal,existing_verified,high,verified_existing
DOC000290,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Portal Yerleşimi 24.02.2020.pptx,Portal Yerleşimi 24.02.2020.pptx,.pptx,6b919eeca10e7371c34c364185d15bd170286dfa99714fcd60293548a45b101c,Portal Yerleşimi 24.02.2020,deterministic_existing,,deterministic_candidate,Karayolları Genel Müdürlüğü (KGM),deterministic_existing,,deterministic_candidate,2020,existing_verified,high,verified_existing,tr,deterministic_existing,high,deterministic_candidate,training_material,deterministic_existing,medium,deterministic_candidate,C,deterministic_llm_agreement,high,auto_safe_candidate,portal,existing_verified,high,verified_existing
DOC000293,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Tünel Imalatlarında-Yapılan-Deneyler.pptx,Tünel Imalatlarında-Yapılan-Deneyler.pptx,.pptx,12958bc53170c0ec340829fddc82bbd374bae24bfafe40379a9bb96a0cdf4617,"Tünel Mühendisi Yetiştirme Kursu    Tünel İmalatlarında Yapılan Deneyler   25 Şubat-1 Mart 2019, Ankara suhan mutlu yol yapım şefi",deterministic_existing,,deterministic_candidate,,unresolved,low,unresolved_nonblocking,2019,existing_verified,high,verified_existing,tr,existing_verified,high,verified_existing,training_material,existing_verified,high,verified_existing,C,existing_verified,high,verified_existing,excavation|shotcrete|rock_bolt,existing_verified,high,verified_existing
DOC000294,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/TÜNEL ÖLÇÜM PLANLAMASI VE TASARIMA YÖNELİK DEĞERLENDİRMELER.pptx,TÜNEL ÖLÇÜM PLANLAMASI VE TASARIMA YÖNELİK DEĞERLENDİRMELER.pptx,.pptx,3c433764639cd9f22e012f4842b525bc85043d6580be268943cc288c557fd1ed,TÜNEL ÖLÇÜM PLANLAMASI VE TASARIMA YÖNELİK DEĞERLENDİRMELER,deterministic_existing,,deterministic_candidate,,human_review_pending,high,human_review_required,2020,deterministic_existing,high,deterministic_candidate,tr,existing_verified,high,verified_existing,training_material,deterministic_existing,medium,deterministic_candidate,,unresolved,low,unresolved_nonblocking,blasting|excavation|final_lining|geology|instrumentation|natm|portal|rock_bolt|shotcrete|standards|steel_rib|support_systems|tbm,deterministic_existing,high,deterministic_candidate
DOC000295,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Tünelde Özel Çözümler/Genel Sunum.ppt,Genel Sunum.ppt,.ppt,3393bfd254fb420205d0ed149f198d0165feb17beb514295791bca2a6cb98ea1,Genel Sunum,deterministic_existing,,deterministic_candidate,,unresolved,low,unresolved_nonblocking,2020,deterministic_existing,high,deterministic_candidate,tr,deterministic_existing,high,deterministic_candidate,presentation,existing_verified,high,verified_existing,C,existing_verified,high,verified_existing,excavation|forepoling|geology|injection|portal|shotcrete|steel_mesh|support_systems,deterministic_existing,high,deterministic_candidate
DOC000302,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/TÜNELLERDE GÜZERGAH SEÇİMİ VE jeoteknik araştırmalar son.pptx,TÜNELLERDE GÜZERGAH SEÇİMİ VE jeoteknik araştırmalar son.pptx,.pptx,1f2620af18f727fc650fba888a0b3b748ffc8a2a378ae188a892567e35d66a5a,TÜNELLERDE GÜZERGAH SEÇİMİ VE jeoteknik araştırmalar son,deterministic_existing,,deterministic_candidate,Karayolları Genel Müdürlüğü (KGM),deterministic_existing,,deterministic_candidate,2020,deterministic_existing,high,deterministic_candidate,tr,existing_verified,high,verified_existing,training_material,deterministic_existing,medium,deterministic_candidate,C,deterministic_llm_agreement,high,auto_safe_candidate,route_selection,existing_verified,high,verified_existing
DOC000303,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Çelik Tel Donatılı Nihai Kaplama.pptx,Çelik Tel Donatılı Nihai Kaplama.pptx,.pptx,a471cdf404ac49ee41a9476faeaa46bfde3e3d12cbc2ef9b336a2deecf875a48,Çelik Tel Donatılı Nihai Kaplama,deterministic_existing,,deterministic_candidate,,unresolved,low,unresolved_nonblocking,2020,deterministic_existing,high,deterministic_candidate,tr,deterministic_existing,high,deterministic_candidate,training_material,deterministic_existing,medium,deterministic_candidate,,unresolved,low,unresolved_nonblocking,final_lining,existing_verified,high,verified_existing
DOC000304,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Çelik Tel Donatılı Püskürtme Betonlar.ppt,Çelik Tel Donatılı Püskürtme Betonlar.ppt,.ppt,98da608e9be099d6bd14e7f1f1b08d0c4274711deaca5af38db0412dfdaffc45,Çelik Tel Donatılı Püskürtme Betonlar,deterministic_existing,,deterministic_candidate,,unresolved,low,unresolved_nonblocking,2020,deterministic_existing,high,deterministic_candidate,tr,deterministic_existing,high,deterministic_candidate,training_material,deterministic_existing,medium,deterministic_candidate,,unresolved,low,unresolved_nonblocking,shotcrete,existing_verified,high,verified_existing
DOC000305,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/Üst yarı alt yarı.pptx,Üst yarı alt yarı.pptx,.pptx,d7637879102d66a46987c0881ec3cbe2448070332762b0b53d685b8dbee00d1f,Üst yarı alt yarı,deterministic_existing,,deterministic_candidate,,unresolved,low,unresolved_nonblocking,2020,deterministic_existing,high,deterministic_candidate,tr,deterministic_existing,high,deterministic_candidate,training_material,deterministic_existing,medium,deterministic_candidate,C,deterministic_llm_agreement,high,auto_safe_candidate,excavation|support_systems,deterministic_existing,high,deterministic_candidate
DOC000306,Çalışma Kapsamı Tasarısı (17.10.2025).rtf,Çalışma Kapsamı Tasarısı (17.10.2025).rtf,.rtf,4b58fadf9915cfda3a8c37ff6b864c52f05d1f62e265607f2edcad54ffe5e71c,Çalışma Kapsamı Tasarısı (17.10.2025),deterministic_existing,,deterministic_candidate,Karayolları Genel Müdürlüğü (KGM),deterministic_existing,,deterministic_candidate,2025,existing_verified,high,verified_existing,tr,deterministic_existing,high,deterministic_candidate,,unresolved,low,rejected_suggestion,,unresolved,high,unresolved_nonblocking,accident|cost|geology|geotechnical_investigation|history|maintenance|operations|route_selection,deterministic_existing,high,deterministic_candidate
DOC000307,Özgür Satıcı/10.24232-jmd.344499-351159.pdf,10.24232-jmd.344499-351159.pdf,.pdf,1d7de282b7330457d53958c4fddbe86d9d0f5f48f582329fa166b394e527e8d3,10.24232-jmd.344499-351159,deterministic_existing,,deterministic_candidate,,human_review_pending,high,human_review_required,,human_review_pending,high,human_review_required,mixed,deterministic_llm_agreement,high,auto_safe_candidate,,human_review_pending,high,human_review_required,,unresolved,low,unresolved_nonblocking,accident|excavation|geology|history|rock_mechanics|traffic,deterministic_existing,high,deterministic_candidate
DOC000308,Özgür Satıcı/Differentmethodsusedinundergroundexcavationsandunderground.pdf,Differentmethodsusedinundergroundexcavationsandunderground.pdf,.pdf,c4987601a2d7857f561d166c8d26abe203dfcede12cc9f56772e3ce817350da1,Differentmethodsusedinundergroundexcavationsandunderground,deterministic_existing,,deterministic_candidate,,unresolved,high,rejected_suggestion,2000,deterministic_existing,medium,deterministic_candidate,en,deterministic_existing,high,deterministic_candidate,presentation,llm_grounded_auto_safe,high,auto_safe_candidate,C,llm_grounded_auto_safe,high,auto_safe_candidate,excavation,existing_verified,high,verified_existing
DOC000309,Özgür Satıcı/OS_JMO_DERGİ_39_1.pdf,OS_JMO_DERGİ_39_1.pdf,.pdf,6a4602e3a0259548e858106ec652f0d7b5933684664e75c037f918ca2a34d8e9,OS_JMO_DERGİ_39_1,deterministic_existing,,deterministic_candidate,Karayolları Genel Müdürlüğü (KGM),deterministic_existing,,deterministic_candidate,,human_review_pending,high,human_review_required,tr,deterministic_existing,high,deterministic_candidate,,human_review_pending,high,human_review_required,D,deterministic_existing,high,deterministic_candidate,accident|drainage|excavation|geology|natm|rock_mechanics,deterministic_existing,high,deterministic_candidate
