document_id,source_file,source_relative_path,source_extension,source_sha256,previous_converter,output_md,status,started_at,finished_at,duration_seconds,error_message,chunk_count,runtime_fingerprint
DOC000153,10_Use of Foams for the Soil Conditioning in Excavations with EPB-TBMs - Envionmental Approach.pdf,Sunumlar_2022/10_Use of Foams for the Soil Conditioning in Excavations with EPB-TBMs - Envionmental Approach.pdf,.pdf,8c40ec5ec7c1cb1e451a146d3c19f951a3041dc6a83f0d886f536e059bbce6eb,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Sunumlar_2022/10_Use of Foams for the Soil Conditioning in Excavations with EPB-TBMs - Envionmental Approach.md,success,2026-08-13T20:17:53+00:00,2026-08-13T20:18:17+00:00,24.298,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000166,Dünyadaki Son Gelişmeler Çerçevesinde Yüksek Hızlı Demiryolu Tünel Tasarımı.pdf,Sunumlar_2022/Dünyadaki Son Gelişmeler Çerçevesinde Yüksek Hızlı Demiryolu Tünel Tasarımı.pdf,.pdf,8290ac15a538bb0f22bd6901290c4685b98061d70ec6dc21f8d978decec27e7e,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Sunumlar_2022/Dünyadaki Son Gelişmeler Çerçevesinde Yüksek Hızlı Demiryolu Tünel Tasarımı.md,success,2026-08-13T20:18:21+00:00,2026-08-13T20:18:32+00:00,11.054,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000167,Türkiye’deki Karayolu Tünellerinde Trafik.pdf,Sunumlar_2022/Türkiye’deki Karayolu Tünellerinde Trafik.pdf,.pdf,d6cabd5890cae7ee2a05c65b23d0264a1f69a65b12ed45d323ef654c7b93ac1a,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Sunumlar_2022/Türkiye’deki Karayolu Tünellerinde Trafik.md,success,2026-08-13T20:18:32+00:00,2026-08-13T20:18:50+00:00,17.975,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000165,9_Final Lining Design Approach for Reduction Tunnels.pdf,Sunumlar_2022/9_Final Lining Design Approach for Reduction Tunnels.pdf,.pdf,6ba9584fcdfdca8c91f6ed1462db0fadbd2f4c81e4f1f4542b0a1a95494be7f5,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Sunumlar_2022/9_Final Lining Design Approach for Reduction Tunnels.md,success,2026-08-13T20:18:50+00:00,2026-08-13T20:19:15+00:00,24.735,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000001,1-s2.0-S0886779816307866-main.pdf,Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.pdf,.pdf,1980884f21bd5c134c8e603a62bc715204b58c5d43382eb7b89a5779e380e1c7,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.md,success,2026-08-13T20:19:15+00:00,2026-08-13T20:19:30+00:00,15.098,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000156,12_2_Fire Safety in Tunnels.pdf,Sunumlar_2022/12_2_Fire Safety in Tunnels.pdf,.pdf,85283ef6c13967fdbf3453026f913b303b7a06a905bc8fd86cd93eb93685975b,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Sunumlar_2022/12_2_Fire Safety in Tunnels.md,success,2026-08-13T20:19:30+00:00,2026-08-13T20:19:50+00:00,20.442,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000005,3433030499-627.pdf,Leyla Literatür/TunelMaliyet/3433030499-627.pdf,.pdf,88542183b3fa42e9a11933065239cd73839b62ba311a4c1705f13390b5561285,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Leyla Literatür/TunelMaliyet/3433030499-627.md,success,2026-08-13T20:19:50+00:00,2026-08-13T20:20:00+00:00,9.846,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000163,7_Tunnel Projects in Indonesia and the Far East Opportunities for Turkish Contractors.pdf,Sunumlar_2022/7_Tunnel Projects in Indonesia and the Far East Opportunities for Turkish Contractors.pdf,.pdf,aebfb2790f94d4239847b45390573d6de454b397cc9405ddd5e8af1f952d3c8d,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Sunumlar_2022/7_Tunnel Projects in Indonesia and the Far East Opportunities for Turkish Contractors.md,success,2026-08-13T20:20:00+00:00,2026-08-13T20:20:20+00:00,19.865,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000258,TÜNEL İÇİ EKİPMAN BOŞLUKLARI NİŞ BİLGİLERİ.pdf,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TÜNEL İÇİ EKİPMAN BOŞLUKLARI NİŞ BİLGİLERİ.pdf,.pdf,1bcc970096995bf6fb2f4e7bde4027ad60b08bec0549a5c93259070e1930d23b,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TÜNEL İÇİ EKİPMAN BOŞLUKLARI NİŞ BİLGİLERİ.md,success,2026-08-13T20:20:20+00:00,2026-08-13T20:20:29+00:00,8.711,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000071,ITU Yuksek Lisans Tezi.docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/ITU Yuksek Lisans Tezi.docx,.docx,cf2fad9c374cff80978324d92e88dd00d6cd4bcb5fd229df8973cfe565b1a477,python_docx_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/ITU Yuksek Lisans Tezi.md,success,2026-08-13T20:20:29+00:00,2026-08-13T20:20:46+00:00,17.389,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000069,19 MayısUniversitesi14. hafta (2020-2021).docx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/19 MayısUniversitesi14. hafta (2020-2021).docx,.docx,43e15adde21fcb6bd4b3b48cb6332a31428312d3c406f330ad4fbaa63aecdcfa,libreoffice_pdf+pypdfium2+rapidocr_torch,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/19 MayısUniversitesi14. hafta (2020-2021).md,success,2026-08-13T20:20:46+00:00,2026-08-13T20:20:53+00:00,6.901,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000154,11_A Tunnelling Experience in Difficult Ground Conditions in the Himalayas.pdf,Sunumlar_2022/11_A Tunnelling Experience in Difficult Ground Conditions in the Himalayas.pdf,.pdf,6a3e8bf61cc46e81e500a8315b25864943df7ce31ca83e59c5d00d36558481f1,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Sunumlar_2022/11_A Tunnelling Experience in Difficult Ground Conditions in the Himalayas.md,success,2026-08-13T20:20:53+00:00,2026-08-13T20:21:16+00:00,22.876,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000021,Tunnel - Wikipedia.pdf,Leyla Literatür/TunelMaliyet/Tunnel - Wikipedia.pdf,.pdf,3b8ddd107873155e0aeb2cadc12651707e75ab95a0d2855fb4100996fae4955e,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Leyla Literatür/TunelMaliyet/Tunnel - Wikipedia.md,success,2026-08-13T20:21:16+00:00,2026-08-13T20:21:27+00:00,10.775,,2,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000308,Differentmethodsusedinundergroundexcavationsandunderground.pdf,Özgür Satıcı/Differentmethodsusedinundergroundexcavationsandunderground.pdf,.pdf,c4987601a2d7857f561d166c8d26abe203dfcede12cc9f56772e3ce817350da1,pypdf_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Özgür Satıcı/Differentmethodsusedinundergroundexcavationsandunderground.md,success,2026-08-13T20:21:27+00:00,2026-08-13T20:21:59+00:00,32.198,,4,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000209,Dünyada Tünel Felaketleri.docx,"Tünel Kazaları, Çökmeler ve Felaketler/Dünyada Tünel Felaketleri.docx",.docx,991e7004905db22e011a30b0cdc12396b3baf31c89d416acbe097a289793529c,libreoffice_pdf+pypdfium2+rapidocr_torch,"/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Tünel Kazaları, Çökmeler ve Felaketler/Dünyada Tünel Felaketleri.md",quality_reject_use_baseline,2026-08-13T20:21:59+00:00,2026-08-13T20:22:03+00:00,3.473,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
DOC000281,Makro sentetik Fiber.pptx,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Çelik Tel+Sentetik Fiber/Makro sentetik Fiber.pptx,.pptx,0a256c5562db6c6bcb23763c5969f3b1c993a084ee8a4c87b426e3474939cf86,python_pptx_fallback,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Çelik Tel+Sentetik Fiber/Makro sentetik Fiber.md,success,2026-08-13T20:22:05+00:00,2026-08-13T20:22:08+00:00,3.002,,1,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8
