document_id,source_relative_path,source_sha256,baseline_output,full_docling_output,final_output,selected_variant,selection_reason,baseline_converter,full_docling_status,quality_status,authority_level,document_type,language,year,topics,citation_sidecar,original_page_provenance_available
DOC000256,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/Tünel Takip Formu (2 sayfa).pdf,e64e1f91da36bc9d30b04639f8eb99a5fac074b20183f9beb9207706aeb2383c,data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/Tünel Takip Formu (2 sayfa).md,,data/corpus_final/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TAKİP FORMU/Tünel Takip Formu (2 sayfa).md,baseline,canonical_baseline_not_full_docling_candidate,docling,not_candidate,not_applicable,A,unknown,tr,,,,false
DOC000258,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TÜNEL İÇİ EKİPMAN BOŞLUKLARI NİŞ BİLGİLERİ.pdf,1bcc970096995bf6fb2f4e7bde4027ad60b08bec0549a5c93259070e1930d23b,data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TÜNEL İÇİ EKİPMAN BOŞLUKLARI NİŞ BİLGİLERİ.md,data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TÜNEL İÇİ EKİPMAN BOŞLUKLARI NİŞ BİLGİLERİ.md,data/corpus_final/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TÜNEL İÇİ EKİPMAN BOŞLUKLARI NİŞ BİLGİLERİ.md,full_docling,quality_passed_use_full_docling,pypdf_fallback,success,passed,,unknown,tr,,,data/temp/full_docling_chunks/DOC000258/0001.docling.json,true
DOC000259,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/Genel Sunum.ppt,6ec633413efc464ce2415d6c94c43aeafed92b29acdaa054270449f9f07c93a5,data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/Genel Sunum.md,,data/corpus_final/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/Genel Sunum.md,baseline,canonical_baseline_not_full_docling_candidate,libreoffice+python_pptx_fallback,not_candidate,not_applicable,C,presentation,,,,,false
DOC000260,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/OTOYOL TÜNELİ (4 ŞERİTLİ) PORTAL TASARIMI.pptx,eba6f7659063a3e0897bbd9762db5b5bfdccdfdb5a4ef6c58f0af07675131f7c,data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/OTOYOL TÜNELİ (4 ŞERİTLİ) PORTAL TASARIMI.md,data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/OTOYOL TÜNELİ (4 ŞERİTLİ) PORTAL TASARIMI.md,data/corpus_final/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/OTOYOL TÜNELİ (4 ŞERİTLİ) PORTAL TASARIMI.md,full_docling,quality_passed_use_full_docling,python_pptx_fallback,success,passed,,unknown,tr,,portal,data/temp/full_docling_chunks/DOC000260/0001.docling.json,false
DOC000261,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T-1OA.pptx,392642f7733f2a4d8b5099cdad7f3e5387a8183c22988ae4733f327bb768055f,data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T-1OA.md,data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T-1OA.md,data/corpus_final/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T-1OA.md,full_docling,quality_passed_use_full_docling,python_pptx_fallback,success,passed,,unknown,,,,data/temp/full_docling_chunks/DOC000261/0001.docling.json,false
DOC000262,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T1 Tüneli KY.pptx,01e403164c0361f59ca716cbdc834029883212f24feab0c290022d9d089ea82d,data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T1 Tüneli KY.md,data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T1 Tüneli KY.md,data/corpus_final/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T1 Tüneli KY.md,full_docling,quality_passed_use_full_docling,python_pptx_fallback,success,passed,,unknown,tr,,,data/temp/full_docling_chunks/DOC000262/0001.docling.json,false
DOC000263,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T1JETGROUT.pptx,88730c77ad15671b96aeb63e9fd179190595853eebdcecd0bbab9c65f98fd11e,data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T1JETGROUT.md,data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T1JETGROUT.md,data/corpus_final/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T1JETGROUT.md,full_docling,quality_passed_use_full_docling,python_pptx_fallback,success,passed,,unknown,,,,data/temp/full_docling_chunks/DOC000263/0001.docling.json,false
DOC000264,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T3 TÜNELİ ENJEKSİYON İPTALİ.pptm,8cd77050797aeb27474ab899ffc0581177f726b127e539c71452b46c78d9dd6e,data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T3 TÜNELİ ENJEKSİYON İPTALİ.md,data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T3 TÜNELİ ENJEKSİYON İPTALİ.md,data/corpus_final/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/T3 TÜNELİ ENJEKSİYON İPTALİ.md,full_docling,quality_passed_use_full_docling,python_pptx_fallback,success,passed,,unknown,tr,,,data/temp/full_docling_chunks/DOC000264/0001.docling.json,false
DOC000266,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/yapim_isleri_ihaleleri_uygulama_yonetmeligi_degisiklikler_islenmis/0- YAPIM İPLERİ İHALELERİ UYGULAMA YÖNETMELİĞİ.docx,80d2d2c44b4c7dffc21f3228442bf14fd38b9686ad84309a669de4b5c8756f26,data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/yapim_isleri_ihaleleri_uygulama_yonetmeligi_degisiklikler_islenmis/0- YAPIM İPLERİ İHALELERİ UYGULAMA YÖNETMELİĞİ.md,,data/corpus_final/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/yapim_isleri_ihaleleri_uygulama_yonetmeligi_degisiklikler_islenmis/0- YAPIM İPLERİ İHALELERİ UYGULAMA YÖNETMELİĞİ.md,baseline,canonical_baseline_not_full_docling_candidate,docling,not_candidate,not_applicable,,unknown,,,,,false
DOC000267,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/yapim_isleri_ihaleleri_uygulama_yonetmeligi_degisiklikler_islenmis/1- Yapım Standart Formlar.docx,eb374e284881c3f58cac6ef6ea9dcaff7bb9f9cae28cac90bee14e72aaa079f7,data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/yapim_isleri_ihaleleri_uygulama_yonetmeligi_degisiklikler_islenmis/1- Yapım Standart Formlar.md,,data/corpus_final/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/yapim_isleri_ihaleleri_uygulama_yonetmeligi_degisiklikler_islenmis/1- Yapım Standart Formlar.md,baseline,canonical_baseline_not_full_docling_candidate,docling,not_candidate,not_applicable,,unknown,,2011,,,false
DOC000268,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/yapim_isleri_ihaleleri_uygulama_yonetmeligi_degisiklikler_islenmis/2- Yapım Açık.docx,06fc2d37deaff224d5ffe522095d4bf1208463f928236f5e3c4323bc4c26f511,data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/yapim_isleri_ihaleleri_uygulama_yonetmeligi_degisiklikler_islenmis/2- Yapım Açık.md,,data/corpus_final/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/yapim_isleri_ihaleleri_uygulama_yonetmeligi_degisiklikler_islenmis/2- Yapım Açık.md,baseline,canonical_baseline_not_full_docling_candidate,docling,not_candidate,not_applicable,,unknown,,,,,false
DOC000269,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/yapim_isleri_ihaleleri_uygulama_yonetmeligi_degisiklikler_islenmis/3- yapım belli istekliler ön yeterlik.docx,e69a8baa6d553a96a5ca075cecac066de36d052013cba0e0ec78f42ec361edf3,data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/yapim_isleri_ihaleleri_uygulama_yonetmeligi_degisiklikler_islenmis/3- yapım belli istekliler ön yeterlik.md,,data/corpus_final/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/yapim_isleri_ihaleleri_uygulama_yonetmeligi_degisiklikler_islenmis/3- yapım belli istekliler ön yeterlik.md,baseline,canonical_baseline_not_full_docling_candidate,docling,not_candidate,not_applicable,,unknown,,,,,false
