document_id,source_sha256,runtime_fingerprint,baseline_converter,full_docling_status,quality_status,quality_reason,full_docling_output,baseline_output,recommended_variant,glyph_pattern_count,glyph_pattern_ratio,text_length,image_placeholder_count,review_required
DOC000214,65d8bf62a92c8cf78307cc7dd3ff4ca78b5df5a459b29c247eaae665fc7f6b2c,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_pptx_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/2-TÜNEL DESTEKLEMESİ-PÜSKÜRTME BETON.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/2-TÜNEL DESTEKLEMESİ-PÜSKÜRTME BETON.md,full_docling,0,0.0,9051,8,false
DOC000215,b0a8ec72de9c063ee06938663c5e6fe3ab91d6c244cae9ccd36884ef26dac934,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_pptx_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/3-TÜNEL DESTEKLEMESİ-ÇELİK HASIR VE ÇELİK İKSA.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/3-TÜNEL DESTEKLEMESİ-ÇELİK HASIR VE ÇELİK İKSA.md,full_docling,0,0.0,5984,21,false
DOC000193,16e105dfc7ea0a648e4f624b4aa37b3f3605161b92c956c1a1e9edf4603453ab,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdf_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Tünel Dergisi/Tunel Dergi Sayi 40.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Tünel Dergisi/Tunel Dergi Sayi 40.md,full_docling,0,0.0,269754,251,false
DOC000116,2dd377aa1c5526954a690c229aaa0177e901e982aab492d81263dce00e55ce56,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_docx_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Mehmet/Literatur/Wordler/YTMK/2015/07_TUG_support_weak_ground.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Mehmet/Literatur/Wordler/YTMK/2015/07_TUG_support_weak_ground.md,full_docling,0,0.0,7136,137,false
DOC000075,1fb6b71a35f819248daf881974423edfaa28cfc580283528ee1be885a439fd2e,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_docx_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/Tünel Eğitim Kitabı 8 EYLÜL 2016.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/Word Dosyaları/Tünel Eğitim Kitabı 8 EYLÜL 2016.md,full_docling,3,3.6e-05,1218024,348,false
DOC000216,fc1de548bd94a314e5e3d8f502ab8d084b52c6f8b800d602c6899ee5959b6fa7,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_pptx_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/4-TÜNEL DESTEKLEMESİ-KAYA BULONU.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/4-TÜNEL DESTEKLEMESİ-KAYA BULONU.md,full_docling,0,0.0,9085,34,false
DOC000047,153e9e2a4af4519f1e27a0440e0b3b06b3433db721cb527217f3a14f050abbdd,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdf_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Literatür ve Araştırmalar/tunnel_manual_FHWA.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Literatür ve Araştırmalar/tunnel_manual_FHWA.md,full_docling,0,0.0,2178658,357,false
DOC000260,eba6f7659063a3e0897bbd9762db5b5bfdccdfdb5a4ef6c58f0af07675131f7c,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_pptx_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/OTOYOL TÜNELİ (4 ŞERİTLİ) PORTAL TASARIMI.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/Tünelde Özel Çözümler/OTOYOL TÜNELİ (4 ŞERİTLİ) PORTAL TASARIMI.md,full_docling,0,0.0,6568,37,false
DOC000203,3fa9eb8ff87a4f69938d3d0c5149a474e666b0b33caf48e4fd3882f20bf074be,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,pypdf_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/Tünel Dergisi/Tünel 51_red (1).md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/Tünel Dergisi/Tünel 51_red (1).md,full_docling,0,0.0,228104,199,false
DOC000289,56d4a921cf2c6a1daf096e8ed36ef4e4738d960ff366c1b218edbe6b1c432e49,2c5381de0d6609755d1d5f74b1d52961dd5490deeb99daf7ff2624914d5d93b8,python_pptx_fallback,success,passed,,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown_full_docling/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/PORTAL TASARIMI.md,/content/drive/MyDrive/tunnel/_TunnelBookAI/data/markdown/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/PORTAL TASARIMI.md,full_docling,0,0.0,6982,65,false
